Name,Price,Color,Acidity,Country
Chateau d’Esclans Whispering Angel Rosé 2022,22.99,White,Semi-Dry,France
Black Box Cabernet Sauvignon (Box Wine),19.99,Red,Dry,USA
19 Crimes Red Blend 2021,9.99,Red,Semi-Dry,Australia
Errazuriz Max Reserva Cabernet Sauvignon 2020,17.99,Red,Dry,Chile
Torres Viña Sol White Blend 2022,9.99,White,Dry,Spain
Bodega Norton Malbec 2021,11.99,Red,Dry,Argentina
Lindeman's Bin 65 Chardonnay 2022,6.99,White,Dry,Australia
Louis Latour Chardonnay 2021,19.99,White,Dry,France
Trapiche Oak Cask Malbec 2021,10.99,Red,Dry,Argentina
William Fevre Chablis 2022,28.99,White,Dry,France
Concha y Toro Casillero del Diablo Cabernet Sauvignon 2021,11.99,Red,Dry,Chile
Antinori Santa Cristina Toscana 2021,13.99,Red,Dry,Italy
Barone Fini Pinot Grigio 2022,12.99,White,Dry,Italy
Marqués de Cáceres Rioja Crianza 2019,14.99,Red,Dry,Spain
Tormaresca Chardonnay 2021,10.99,White,Dry,Italy
Alamos Malbec 2021,10.49,Red,Dry,Argentina
Montes Classic Series Sauvignon Blanc 2022,11.99,White,Dry,Chile
Pascual Toso Malbec 2021,12.99,Red,Dry,Argentina
Casal Garcia Vinho Verde 2022,8.99,White,Semi-Dry,Portugal
J. Lohr Seven Oaks Cabernet Sauvignon 2020,16.99,Red,Dry,USA
Kendall-Jackson Avant Unoaked Chardonnay 2021,14.99,White,Dry,USA
Mouton Cadet Bordeaux 2020,13.99,Red,Dry,France
Villa Maria Sauvignon Blanc 2022,15.99,White,Dry,New Zealand
Don Miguel Gascón Malbec 2021,13.99,Red,Dry,Argentina
Raimat Albariño 2022,12.99,White,Dry,Spain
La Vieille Ferme Rouge 2021,9.99,Red,Dry,France
Peter Yealands Sauvignon Blanc 2022,13.99,White,Dry,New Zealand
Tenuta San Guido Guidalberto 2020,55.99,Red,Dry,Italy
Santa Carolina Reserva Pinot Noir 2021,10.99,Red,Dry,Chile
Yalumba Y Series Viognier 2022,12.99,White,Dry,Australia
Bodegas Borsao Garnacha 2021,9.99,Red,Semi-Dry,Spain
Feudi di San Gregorio Falanghina 2021,17.99,White,Dry,Italy
Château Lafite Rothschild Pauillac 2019,750.00,Red,Dry,France
Château Margaux 2019,750.00,Red,Dry,France
Château Latour 2019,750.00,Red,Dry,France
Château Cheval Blanc 2019,750.00,Red,Dry,France
Château Haut-Brion 2019,750.00,Red,Dry,France
Château d'Yquem 2018,750.00,White,Sweet,France
Château d'Agapet 2019,750.00,Red,Dry,France
Château d'Esclans Whispering Angel Rosé 2022,22.99,White,Semi-Dry,France
